,+/-,3PA,3PM,AST,BLK,DKPoints,DREB,FGA,FGM,FTA,FTM,MIN,OREB,PF,PTS,REB,STL,TO,game_id,player,position,team,id,away_team_losses,away_team_wins,date,home_team,home_team_losses,home_team_score,home_team_wins,visit_team,visit_team_score
7594,10.0,0.0,0.0,3.0,1.0,42.75,3.0,17.0,13.0,4.0,3.0,30.0,2.0,4.0,29.0,5.0,1.0,2.0,400828034.0,Al Jefferson, C,Charlotte Hornets,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
7595,2.0,5.0,2.0,5.0,0.0,30.5,4.0,12.0,5.0,2.0,2.0,36.0,0.0,2.0,14.0,4.0,2.0,2.0,400828034.0,Kemba Walker, PG,Charlotte Hornets,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
7596,5.0,10.0,5.0,6.0,0.0,49.75,5.0,19.0,11.0,7.0,6.0,39.0,0.0,2.0,33.0,5.0,0.0,2.0,400828034.0,Nicolas Batum, SG,Charlotte Hornets,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
7597,7.0,2.0,0.0,2.0,2.0,15.0,3.0,4.0,0.0,2.0,1.0,21.0,3.0,1.0,1.0,6.0,0.0,1.0,400828034.0,Cody Zeller, PF,Charlotte Hornets,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
7598,2.0,1.0,0.0,4.0,1.0,12.0,2.0,2.0,0.0,2.0,2.0,18.0,0.0,2.0,2.0,2.0,0.0,1.0,400828034.0,Spencer Hawes, PF,Charlotte Hornets,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
7599,-7.0,0.0,0.0,1.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,400828034.0,Brian Roberts, PG,Charlotte Hornets,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
7600,6.0,4.0,1.0,3.0,1.0,13.5,0.0,9.0,2.0,0.0,0.0,20.0,0.0,1.0,5.0,0.0,1.0,1.0,400828034.0,Jeremy Lin, PG,Charlotte Hornets,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
7601,21.0,5.0,1.0,3.0,2.0,27.75,5.0,10.0,6.0,0.0,0.0,28.0,0.0,2.0,13.0,5.0,0.0,1.0,400828034.0,Jeremy Lamb, SG,Charlotte Hornets,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
7602,,,,,,,,,,,,,,,,,,,400828034.0,Tyler Hansbrough, PF,Charlotte Hornets,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
7603,,,,,,,,,,,,,,,,,,,400828034.0,Frank Kaminsky III, C,Charlotte Hornets,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
7604,,,,,,,,,,,,,,,,,,,400828034.0,Troy Daniels, SG,Charlotte Hornets,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
7605,3.0,5.0,1.0,2.0,1.0,18.75,5.0,6.0,2.0,0.0,0.0,17.0,2.0,1.0,5.0,7.0,0.0,1.0,400828102.0,Kris Humphries, PF,Washington Wizards,400828102,6,6,2015-11-25,Charlotte Hornets,6,101,9,Washington Wizards,87
7606,-9.0,5.0,1.0,3.0,0.0,8.25,0.0,6.0,1.0,0.0,0.0,27.0,1.0,2.0,3.0,1.0,0.0,2.0,400828102.0,Otto Porter Jr., SF,Washington Wizards,400828102,6,6,2015-11-25,Charlotte Hornets,6,101,9,Washington Wizards,87
7607,-10.0,0.0,0.0,0.0,2.0,38.5,8.0,8.0,6.0,6.0,5.0,31.0,4.0,3.0,17.0,12.0,1.0,2.0,400828102.0,Marcin Gortat, C,Washington Wizards,400828102,6,6,2015-11-25,Charlotte Hornets,6,101,9,Washington Wizards,87
7608,-2.0,7.0,2.0,6.0,0.0,39.75,2.0,18.0,6.0,0.0,0.0,36.0,3.0,2.0,14.0,5.0,6.0,5.0,400828102.0,John Wall, PG,Washington Wizards,400828102,6,6,2015-11-25,Charlotte Hornets,6,101,9,Washington Wizards,87
7609,-11.0,8.0,3.0,2.0,1.0,27.5,4.0,16.0,6.0,2.0,2.0,38.0,0.0,1.0,17.0,4.0,0.0,2.0,400828102.0,Bradley Beal, SG,Washington Wizards,400828102,6,6,2015-11-25,Charlotte Hornets,6,101,9,Washington Wizards,87
7610,-4.0,0.0,0.0,0.0,0.0,11.25,3.0,7.0,2.0,4.0,2.0,17.0,0.0,4.0,6.0,3.0,1.0,1.0,400828102.0,Nene Hilario, C,Washington Wizards,400828102,6,6,2015-11-25,Charlotte Hornets,6,101,9,Washington Wizards,87
7611,-15.0,3.0,2.0,1.0,0.0,26.25,3.0,13.0,7.0,2.0,2.0,28.0,0.0,3.0,18.0,3.0,1.0,0.0,400828102.0,Gary Neal, PG,Washington Wizards,400828102,6,6,2015-11-25,Charlotte Hornets,6,101,9,Washington Wizards,87
7612,-12.0,2.0,0.0,0.0,0.0,4.0,2.0,5.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,2.0,1.0,1.0,400828102.0,Ramon Sessions, PG,Washington Wizards,400828102,6,6,2015-11-25,Charlotte Hornets,6,101,9,Washington Wizards,87
