AvgPts,Ceiling,CeilingPct,Consistency,Floor,FloorPct,ImpPts,OppPlusMinusPct,Plus_Minus,ProjPlusMinusPct,Score,Season_PPG,Season_Plus_Minus,Upside,Vegas,AdjYPA,PassINTPct,PassSackPct,PassTDPct,PassingSuccessfulPct,YardsPerPassingAttempt,ActualPoints
17.1,27.5,47,100,6.7,27,15.31,74,66,46,66.0,17.6,2.3,100,52,7.85,0.0,4.5,2.5,48.01,7.75,18.5
17.2,28.9,61,23,5.5,9,14.37,85,8,62,8.0,2.6,-11.3,54,72,7.6,0.0,4.0,4.2,41.83,6.08,13.7
24.4,38.9,99,44,9.9,81,19.75,84,50,83,50.0,20.7,-0.3,98,95,7.25,1.4,6.3,5.7,47.79,6.81,32.6
19.3,32.5,86,62,6.1,15,18.35,93,70,37,70.0,19.9,2.8,99,68,6.58,1.5,5.3,4.4,49.11,7.68,31.4
22.4,38.5,98,62,6.3,33,16.24,92,49,94,49.0,19.0,0.9,99,89,7.51,2.5,5.3,5.3,45.75,7.02,12.4
19.4,31.4,78,100,7.4,40,16.24,46,73,65,73.0,18.4,3.0,99,72,7.69,0.9,5.2,5.5,48.62,7.19,7.4
21.4,33.8,88,59,9.0,75,19.28,79,33,51,33.0,19.4,-0.3,92,85,5.49,1.6,7.7,4.9,48.0,7.69,14.5
18.2,31.7,78,41,4.7,7,15.77,55,53,55,53.0,15.5,1.2,99,74,6.85,1.2,5.3,5.0,49.44,7.5,15.1
23.8,38.0,98,53,9.6,79,19.75,59,91,77,91.0,23.7,5.3,99,94,7.16,3.3,4.1,5.8,49.31,7.38,11.6
19.9,32.1,84,84,7.7,43,17.41,32,87,55,87.0,21.0,4.5,100,61,6.65,2.2,4.6,5.9,48.88,7.19,11.8
26.5,38.4,98,84,14.6,99,21.15,59,89,90,89.0,24.2,4.9,99,93,7.07,2.6,7.2,6.8,44.82,6.92,31.0
16.7,28.9,61,50,4.5,2,16.01,18,53,33,53.0,18.6,1.3,98,63,6.4,2.6,5.0,5.0,50.34,7.63,29.1
13.5,23.9,12,27,3.1,0,13.91,7,12,25,12.0,5.9,-8.0,54,22,5.99,1.1,4.6,2.6,50.56,8.13,24.7
18.7,31.7,83,84,5.7,9,14.84,70,70,74,70.0,17.8,2.7,99,44,6.23,2.4,8.6,4.2,50.92,7.66,10.4
19.5,31.6,78,79,7.4,45,14.61,37,70,86,70.0,18.0,2.8,99,84,6.84,1.1,7.8,4.4,47.39,7.37,21.0
18.8,31.2,80,59,6.4,17,17.88,7,62,37,62.0,19.8,2.0,98,26,7.58,2.5,4.8,4.7,51.13,7.06,26.6
18.1,30.9,77,100,5.3,7,15.31,1,94,60,94.0,21.4,5.9,99,44,7.57,1.8,5.0,5.6,50.51,7.79,18.3
16.0,27.5,43,45,4.5,5,13.91,94,18,50,18.0,9.4,-4.6,79,41,5.94,2.2,5.6,3.0,46.86,6.93,33.5
20.5,31.0,75,65,10.0,80,15.07,34,46,90,46.0,17.6,0.8,99,39,7.26,1.6,7.2,4.8,45.53,6.56,21.9
17.2,27.3,40,75,7.1,43,14.37,53,78,62,78.0,18.3,3.6,99,26,6.23,3.1,4.1,4.9,49.21,7.6,6.2
20.1,32.1,81,79,8.1,61,16.48,91,76,72,76.0,18.6,3.2,99,86,5.82,2.9,7.2,4.5,50.7,7.71,28.8
24.1,39.9,99,53,8.3,51,20.68,83,91,69,91.0,24.4,5.2,99,82,7.45,1.9,3.7,6.0,55.62,8.61,36.6
19.5,32.4,85,84,6.6,24,16.94,46,95,56,95.0,22.6,6.1,99,52,5.82,3.4,8.0,5.5,46.96,7.17,12.9
19.1,32.0,83,100,6.2,17,15.77,19,69,68,69.0,18.8,2.7,99,28,5.4,2.6,4.2,3.0,48.94,6.75,15.3
